sents,actions,sentsRev,actionsRev,valid
"I don't care what other people think, I have to eat humans, even if I regret it.",eat humans,"I don't care what other people think, I have to stop eating humans, even if I regret it.",stop eating humans,1
"I don't care what other people think, I have to eat meat.",eat meat,"I don't care what other people think, I have to stop eating meat.",stop eating meat,1
"I don't care what other people think, I have to eat meat, come what may.",eat meat,"I don't care what other people think, I have to stop eating meat, come what may.",stop eating meat,1
"I don't care what other people think, I have to eat meat, even if I regret it.",eat meat,"I don't care what other people think, I have to stop eating meat, even if I regret it.",stop eating meat,1
"I don't care what other people think, I have to eat on the train.",eat on the train,"I don't care what other people think, I have to stop eating on the train.",stop eating on the train,1
"I don't care what other people think, I have to eat on the train, come what may.",eat on the train,"I don't care what other people think, I have to stop eating on the train, come what may.",stop eating on the train,1
"I don't care what other people think, I have to eat on the train, even if I regret it.",eat on the train,"I don't care what other people think, I have to stop eating on the train, even if I regret it.",stop eating on the train,1
"I don't care what other people think, I have to eat dirt.",eat dirt,"I don't care what other people think, I have to stop eating dirt.",stop eating dirt,1
"I don't care what other people think, I have to eat dirt, come what may.",eat dirt,"I don't care what other people think, I have to stop eating dirt, come what may.",stop eating dirt,1
"I don't care what other people think, I have to eat dirt, even if I regret it.",eat dirt,"I don't care what other people think, I have to stop eating dirt, even if I regret it.",stop eating dirt,1
"I don't care what other people think, I have to lie.",lie,"I don't care what other people think, I have to stop lying.",stop lying,1
"I don't care what other people think, I have to lie, come what may.",lie,"I don't care what other people think, I have to stop lying, come what may.",stop lying,1
"I don't care what other people think, I have to lie, even if I regret it.",lie,"I don't care what other people think, I have to stop lying, even if I regret it.",stop lying,1
"I don't care what other people think, I have to lie to my boyfriend.",lie to my boyfriend,"I don't care what other people think, I have to stop lying to my boyfriend.",stop lying to my boyfriend,1
"I don't care what other people think, I have to lie to my boyfriend, come what may.",lie to my boyfriend,"I don't care what other people think, I have to stop lying to my boyfriend, come what may.",stop lying to my boyfriend,1
"I don't care what other people think, I have to lie to my boyfriend, even if I regret it.",lie to my boyfriend,"I don't care what other people think, I have to stop lying to my boyfriend, even if I regret it.",stop lying to my boyfriend,1
"I don't care what other people think, I have to lie to a stranger.",lie to a stranger,"I don't care what other people think, I have to stop lying to strangers.",stop lying to strangers,1
"I don't care what other people think, I have to lie to a stranger, come what may.",lie to a stranger,"I don't care what other people think, I have to stop lying to strangers, come what may.",stop lying to strangers,1
"I don't care what other people think, I have to lie to a stranger, even if I regret it.",lie to a stranger,"I don't care what other people think, I have to stop lying to strangers, even if I regret it.",stop lying to strangers,1
"I don't care what other people think, I have to lie to my girlfriend.",lie to my girlfriend,"I don't care what other people think, I have to stop lying to my girlfriend.",stop lying to my girlfriend,1
"I don't care what other people think, I have to lie to my girlfriend, come what may.",lie to my girlfriend,"I don't care what other people think, I have to stop lying to my girlfriend, come what may.",stop lying to my girlfriend,1
"I don't care what other people think, I have to lie to my girlfriend, even if I regret it.",lie to my girlfriend,"I don't care what other people think, I have to stop lying to my girlfriend, even if I regret it.",stop lying to my girlfriend,1
"I don't care what other people think, I have to waste.",waste,"I don't care what other people think, I have to conserve.",conserve,1
"I don't care what other people think, I have to waste, come what may.",waste,"I don't care what other people think, I have to conserve, come what may.",conserve,1
"I don't care what other people think, I have to waste, even if I regret it.",waste,"I don't care what other people think, I have to conserve, even if I regret it.",conserve,1
"I don't care what other people think, I have to waste time.",waste time,"I don't care what other people think, I have to stop wasting time.",stop wasting time,1
"I don't care what other people think, I have to waste time, come what may.",waste time,"I don't care what other people think, I have to stop wasting time, come what may.",stop wasting time,1
"I don't care what other people think, I have to waste time, even if I regret it.",waste time,"I don't care what other people think, I have to stop wasting time, even if I regret it.",stop wasting time,1
"I don't care what other people think, I have to waste money.",waste money,"I don't care what other people think, I have to stop wasting money.",stop wasting money,1
"I don't care what other people think, I have to waste money, come what may.",waste money,"I don't care what other people think, I have to stop wasting money, come what may.",stop wasting money,1
"I don't care what other people think, I have to waste money, even if I regret it.",waste money,"I don't care what other people think, I have to stop wasting money, even if I regret it.",stop wasting money,1
"I don't care what other people think, I have to waste energy.",waste energy,"I don't care what other people think, I have to stop wasting energy.",stop wasting energy,1
"I don't care what other people think, I have to waste energy, come what may.",waste energy,"I don't care what other people think, I have to stop wasting energy, come what may.",stop wasting energy,1
"I don't care what other people think, I have to waste energy, even if I regret it.",waste energy,"I don't care what other people think, I have to stop wasting energy, even if I regret it.",stop wasting energy,1
"I don't care what other people think, I have to waste water.",waste water,"I don't care what other people think, I have to stop wasting water.",stop wasting water,1
"I don't care what other people think, I have to waste water, come what may.",waste water,"I don't care what other people think, I have to stop wasting water, come what may.",stop wasting water,1
"I don't care what other people think, I have to waste water, even if I regret it.",waste water,"I don't care what other people think, I have to stop wasting water, even if I regret it.",stop wasting water,1
"I don't care what other people think, I have to pursue a career.",pursue a career,"I don't care what other people think, I have to abandon my career.",abandon my career,1
"I don't care what other people think, I have to pursue a career, come what may.",pursue a career,"I don't care what other people think, I have to abandon my career, come what may.",abandon my career,1
"I don't care what other people think, I have to pursue a career, even if I regret it.",pursue a career,"I don't care what other people think, I have to abandon my career, even if I regret it.",abandon my career,1
"I don't care what other people think, I have to pursue money.",pursue money,"I don't care what other people think, I have to stop focusing on money.",stop focusing on money,1
